0,CombatZoneResize,238,225,403,390,TLResume
0,HeartTeleport,C
0,HeartMode,0,,,,,,
0,TLPause

0.5,SansTorso,HandLeft
0,SansSlam,2
0.5,SansTorso,HandRight
0,HeartMAxFallSpeed,300
0,SansSlam,0
0,CombatZoneResize,-10,264,650,369,,,,
0.5,Turn12_SansScroll
0,HeartMode,5

5.25,HeartMaxFallSpeed,330,,,,,,,
0,SansSlam,0,,,,,,,
0,CombatZoneSpeed,540,,,,,,,
0,CombatZoneResize,-10,264,410,369,,,,
0.9,Turn12_SansScrollEnd

0,SansTorso,HandLeft,,,,,,,

0.2,BoneStab,0,50,0.4,1,,,,
0.9,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.25,CombatZoneResizeInstant,238,225,403,390,,,,
0,HeartTeleport,320,375,,,,,,
0,HeartMode,1,,,,,,,
0,Turn12_SansXReset
0.15,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,


1,EndAttack
